date,headline,release,url,text
1-Jul-20,Agencies provide largest firms with information for next resolution plans,Joint Press Release,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200701a.htm,"The Federal Deposit Insurance Corporation and the Federal Reserve Board today provided information to the eight largest and most complex domestic banking organizations that will guide their next resolution plans, which are due by July 1, 2021. Resolution plans, commonly known as living wills, must describe the firm's strategy for rapid and orderly resolution in bankruptcy in the event of material financial distress or failure of the firm. The 2021 plans will be required to include core elements of a firm's resolution plan—such as capital, liquidity, and recapitalization strategies—as well as how each firm has integrated changes to and lessons learned from its response to the coronavirus into its resolution planning process. This will be the first ""targeted"" resolution plan, a type of plan introduced in the revisions to the agencies' resolution plan rule finalized last year. Separately, the agencies recently completed a review of ""critical operations,"" which are operations at certain firms whose failure or discontinuance would threaten U.S. financial stability, and informed the firms of their findings. The agencies also plan to complete another such review by July 2022, and this review will include a further, broader evaluation of the framework used to identify critical operations."
29-Jun-20,"Federal Reserve Board releases new term sheet for the Primary Market Corporate Credit Facility, adding pricing and other information",Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200629a.htm,"The Federal Reserve Board on Monday released a new term sheet for the Primary Market Corporate Credit Facility, adding pricing and other information. As detailed in an FAQ released today, pricing will be issuer-specific and informed by market conditions. Prices will also be subject to minimum and maximum spreads over comparable maturity Treasury securities. By standing ready to provide credit to qualifying issuers of corporate bonds in periods of stress, the PMCCF serves as a funding backstop, supporting market liquidity and the availability of credit for large employers. The Primary Market and Secondary Market Corporate Credit Facilities were established with the approval of the Treasury Secretary and with $75 billion in equity provided by the Treasury Department from the CARES Act."
25-Jun-20,Federal Reserve Board releases results of stress tests for 2020 and additional sensitivity analyses conducted in light of the coronavirus event,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200625c.htm,"The Federal Reserve Board on Thursday released the results of its stress tests for 2020 and additional sensitivity analyses that the Board conducted in light of the coronavirus event. ""The banking system has been a source of strength during this crisis,"" Vice Chair Randal K. Quarles said, ""and the results of our sensitivity analyses show that our banks can remain strong in the face of even the harshest shocks."" In addition to its normal stress test, the Board conducted a sensitivity analysis to assess the resiliency of large banks under three hypothetical recessions, or downside scenarios, which could result from the coronavirus event. The scenarios included a V-shaped recession and recovery; a slower, U-shaped recession and recovery; and a W-shaped, double-dip recession. In the three downside scenarios, the unemployment rate peaked at between 15.6 percent and 19.5 percent, which is significantly more stringent than any of the Board's pre-coronavirus stress test scenarios. The scenarios are not predictions or forecasts of the likely path of the economy or financial markets. In aggregate, loan losses for the 34 banks ranged from $560 billion to $700 billion in the sensitivity analysis and aggregate capital ratios declined from 12.0 percent in the fourth quarter of 2019 to between 9.5 percent and 7.7 percent under the hypothetical downside scenarios. Under the U- and W-shaped scenarios, most firms remain well capitalized but several would approach minimum capital levels. The sensitivity analysis does not incorporate the potential effects of government stimulus payments and expanded unemployment insurance. In light of these results, the Board took several actions following its stress tests to ensure large banks remain resilient despite the economic uncertainty from the coronavirus event. For the third quarter of this year, the Board is requiring large banks to preserve capital by suspending share repurchases, capping dividend payments, and allowing dividends according to a formula based on recent income. The Board is also requiring banks to re-evaluate their longer-term capital plans. All large banks will be required to resubmit and update their capital plans later this year to reflect current stresses, which will help firms re-assess their capital needs and maintain strong capital planning practices during this period of uncertainty. The Board will conduct additional analysis each quarter to determine if adjustments to this response are appropriate. During the third quarter, no share repurchases will be permitted. In recent years, share repurchases have represented approximately 70 percent of shareholder payouts from large banks. The Board is also capping dividend payments to the amount paid in the second quarter and is further limiting them to an amount based on recent earnings. As a result, a bank cannot increase its dividend and can pay dividends if it has earned sufficient income. The Board also released the results of its full stress test designed before the coronavirus. The results from that test are comparable to the V-shaped downside scenario in the sensitivity analysis, in aggregate, and show that all large banks remain strongly capitalized. The Board will use the results of this test to set the new stress capital buffer requirement for these firms, which will take effect, as planned, in the fourth quarter. Additionally, the Board will not be objecting to five foreign banks whose capital planning practices were evaluated as part of the stress tests."
15-Jun-20,Federal Reserve Board announces it will be seeking public feedback on proposal to expand its Main Street Lending Program to provide access to credit for nonprofit organizations,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200615b.htm,"The Federal Reserve Board on Monday announced it will be seeking public feedback on a proposal to expand its Main Street Lending Program to provide access to credit for nonprofit organizations. As with the existing Main Street Lending Program, which targets small and medium-sized businesses, the proposed expansion would offer loans to small and medium-sized nonprofits that were in sound financial condition before the coronavirus pandemic and could benefit from additional liquidity to manage through this challenging period. ""Nonprofit organizations are critical parts of our economy, employing millions of people, providing essential services to communities, and supporting innovation and the development of a highly skilled workforce,"" Federal Reserve Chair Jerome H. Powell said. ""Nonprofits provide vital services across the country and we are working to help them through this difficult time."" Loan terms under the proposed Main Street nonprofit loans, including the interest rate, deferral of principal and interest payments, and five-year term, are the same as for Main Street business loans. The minimum loan size is $250,000 while the maximum loan size is $300 million. Principal payments would be fully deferred for the first two years of the loan, and interest payments would be deferred for one year. Two loan options would be offered under the proposal. Borrower eligibility requirements for the proposed nonprofit facilities would be modified from the for-profit facilities to reflect the operational and accounting practices of the nonprofit sector and include: Minimum of 50 and maximum of 15,000 employees; Financial thresholds based on operating performance, liquidity, and ability to repay debt; An operational history of at least five years; and A limit on endowments of no more than $3 billion. Additionally, each organization must be a tax-exempt organization under section 501(c)(3) or 501(c)(19) of the Internal Revenue Code. The chart below has additional details on the proposed terms. Because the circumstances, structure, and needs of nonprofit organizations vary widely, public feedback is being sought to help make the proposed program as efficient and effective as possible. Feedback may be submitted via email here until Monday, June 22. Feedback will be made available to the public, and comments should not include confidential information. The Main Street Lending Program was established with the approval of the Treasury Secretary and with $75 billion in equity provided by the Treasury Department from the CARES Act."
15-Jun-20,"Federal Reserve Board announces updates to Secondary Market Corporate Credit Facility (SMCCF), which will begin buying a broad and diversified portfolio of corporate bonds to support market liquidity and the availability of credit for large employers",Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200615a.htm,"The Federal Reserve Board on Monday announced updates to the Secondary Market Corporate Credit Facility (SMCCF), which will begin buying a broad and diversified portfolio of corporate bonds to support market liquidity and the availability of credit for large employers. As detailed in a revised term sheet and updated FAQs, the SMCCF will purchase corporate bonds to create a corporate bond portfolio that is based on a broad, diversified market index of U.S. corporate bonds. This index is made up of all the bonds in the secondary market that have been issued by U.S. companies that satisfy the facility's minimum rating, maximum maturity, and other criteria. This indexing approach will complement the facility's current purchases of exchange-traded funds. The Primary Market and Secondary Market Corporate Credit Facilities were established with the approval of the Treasury Secretary and with $75 billion in equity provided by the Treasury Department from the CARES Act."
15-Jun-20,"Federal Reserve Board announces it will resume examination activities for all banks, after previously announcing a reduced focus on exam activity in light of the coronavirus response",Press Release,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200615a.htm,"The Federal Reserve Board on Monday announced that it will resume examination activities for all banks, after previously announcing a reduced focus on exam activity in light of the coronavirus response. In March, the Board announced that it would focus on outreach and monitoring in light of the coronavirus response measures and temporarily reduce its exam activity, with the greatest reduction for smaller banks. Since that time, banks have had time to implement contingency operating plans and adapt their operations, so exam activity will resume. The Board anticipates that exams will continue to be conducted offsite until conditions improve and will continue to work with banks to understand any specific issues they may be facing."
10-Jun-20,Federal Reserve issues FOMC statement,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200610a.htm,"The Federal Reserve is committed to using its full range of tools to support the U.S. economy in this challenging time, thereby promoting its maximum employment and price stability goals. The coronavirus outbreak is causing tremendous human and economic hardship across the United States and around the world. The virus and the measures taken to protect public health have induced sharp declines in economic activity and a surge in job losses. Weaker demand and significantly lower oil prices are holding down consumer price inflation. Financial conditions have improved, in part reflecting policy measures to support the economy and the flow of credit to U.S. households and businesses. The ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term, and poses considerable risks to the economic outlook over the medium term. In light of these developments, the Committee decided to maintain the target range for the federal funds rate at 0 to 1/4 percent. The Committee expects to maintain this target range until it is confident that the economy has weathered recent events and is on track to achieve its maximum employment and price stability goals. The Committee will continue to monitor the implications of incoming information for the economic outlook, including information related to public health, as well as global developments and muted inflation pressures, and will use its tools and act as appropriate to support the economy. In determining the timing and size of future adjustments to the stance of monetary policy, the Committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric 2 percent inflation objective. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. To support the flow of credit to households and businesses, over coming months the Federal Reserve will increase its holdings of Treasury securities and agency residential and commercial mortgage-backed securities at least at the current pace to sustain smooth market functioning, thereby fostering effective transmission of monetary policy to broader financial conditions. In addition, the Open Market Desk will continue to offer large-scale overnight and term repurchase agreement operations. The Committee will closely monitor developments and is prepared to adjust its plans as appropriate. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michelle W. Bowman; Lael Brainard; Richard H. Clarida; Patrick Harker; Robert S. Kaplan; Neel Kashkari; Loretta J. Mester; and Randal K. Quarles."
8-Jun-20,Federal Reserve Board expands its Main Street Lending Program to allow more small and medium-sized businesses to be able to receive support,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200608a.htm,"The Federal Reserve Board on Monday expanded its Main Street Lending Program to allow more small and medium-sized businesses to be able to receive support. The Board lowered the minimum loan amount, raised the maximum loan limit, adjusted the principal repayment schedule to begin after two years, and extended the term to five years, providing borrowers with greater flexibility in repaying the loans. The Board expects the Main Street program to be open for lender registration soon and to be actively buying loans shortly afterwards. ""Supporting small and mid-sized businesses so they are ready to reopen and rehire workers will help foster a broad-based economic recovery,"" Federal Reserve Chair Jerome H. Powell said. ""I am confident the changes we are making will improve the ability of the Main Street Lending Program to support employment during this difficult period."" Small and medium-sized businesses are a vital part of the economy and employ tens of millions of people, and, because their needs vary widely, the Board has extensively sought feedback and revised the Main Street program accordingly. The changes include: Lowering the minimum loan size for certain loans to $250,000 from $500,000; Increasing the maximum loan size for all facilities; Increasing the term of each loan option to five years, from four years; Extending the repayment period for all loans by delaying principal payments for two years, rather than one; and Raising the Reserve Bank's participation to 95% for all loans. The chart below has additional details on the changes. Once they have successfully registered for the program, lenders are encouraged to begin making Main Street loans immediately. The Main Street Lending Program intends to purchase 95% of each eligible loan that is submitted to the program, provided that the required documentation is complete and the transactions are consistent with the relevant Main Street facility's requirements. The Main Street Lending Program will also accept loans that were originated under the previously announced terms, if funded before June 10, 2020. Nonprofit organizations play a critical role throughout the economy, and the Board is working to establish a program soon for these organizations. The Main Street Lending Program was established with the approval of the Treasury Secretary and with $75 billion in equity provided by the Treasury Department from the CARES Act. Additional frequently asked questions and answers for lenders and borrowers are also available. The form participation agreement and other legal forms will be updated to align with the changes announced today."
3-Jun-20,Federal Reserve Board announces an expansion in the number and type of entities eligible to directly use its Municipal Liquidity Facility,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200603a.htm,"The Federal Reserve Board on Wednesday announced an expansion in the number and type of entities eligible to directly use its Municipal Liquidity Facility (MLF). Under the new terms, all U.S. states will be able to have at least two cities or counties eligible to directly issue notes to the MLF regardless of population. Governors of each state will also be able to designate two issuers in their jurisdictions whose revenues are generally derived from operating government activities (such as public transit, airports, toll facilities, and utilities) to be eligible to directly use the facility. In addition to the expanded terms outlined above, the MLF continues to be directly open to U.S. states, the District of Columbia, U.S. cities with a population of at least 250,000 residents, U.S. counties with a population of at least 500,000 residents, and certain multistate entities. The MLF was established under Section 13(3) of the Federal Reserve Act, with approval of the Treasury Secretary. It will offer up to $500 billion in lending to states and municipalities to help manage cash flow stresses caused by the coronavirus pandemic."
26-May-20,Federal Reserve Board extends the application period for membership on the Community Advisory Council,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/other20200526a.htm,"The Federal Reserve Board has extended until July 3, 2020, the application period for membership on the Community Advisory Council. The application period has been extended in light of ongoing challenges for households and businesses caused by the COVID-19 emergency in order to provide additional opportunity for interested persons to submit their applications. The Board's Federal Register notice is attached. Applications were originally due by June 5, 2020."
20-May-20,Federal agencies share principles for offering responsible small-dollar loans,Joint Press Release,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200520a.htm,"The federal financial institution regulatory agencies today issued principles for offering small-dollar loans in a responsible manner to meet financial institutions customers' short-term credit needs. The Federal Reserve Board, the Federal Deposit Insurance Corporation, the National Credit Union Administration, and the Office of the Comptroller of the Currency recognize the important role that responsibly offered small-dollar loans can play in helping customers meet their ongoing needs for credit from temporary cash-flow imbalances, unexpected expenses, or income shortfalls, including during periods of economic stress, natural disasters, or other extraordinary circumstances such as the public health emergency created by COVID-19. The agencies are issuing the ""Interagency Lending Principles for Offering Responsible Small-Dollar Loans"" to encourage supervised banks, savings associations, and credit unions to offer responsible small-dollar loans to customers for consumer and small business purposes. A March 26 joint agency statement encouraged banks, savings associations, and credit unions to offer responsible small-dollar loans to consumers and small businesses in response to COVID-19."
15-May-20,Regulators temporarily change the supplementary leverage ratio to increase banking organizations' ability to support credit to households and businesses in light of the coronavirus response,Joint Press Release,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200515a.htm,"The federal bank regulatory agencies today announced temporary changes to their supplementary leverage ratio rule. The temporary modifications will provide flexibility to certain depository institutions to expand their balance sheets in order to provide credit to households and businesses in light of the challenges arising from the coronavirus response. Issued by the Federal Reserve Board, the Federal Deposit Insurance Corporation, and the Office of the Comptroller of the Currency, the interim final rule permits depository institutions to choose to exclude U.S. Treasury securities and deposits at Federal Reserve Banks from the calculation of the supplementary leverage ratio. If a depository institution does change its supplementary leverage ratio calculation, it will be required to request approval from its primary federal banking regulator before making capital distributions, such as paying dividends to its parent company, as long as the exclusion is in effect. The agencies are providing this temporary exclusion to enable depository institutions to expand their balance sheets as appropriate to serve as financial intermediaries and serve their customers. The supplementary leverage ratio generally includes subsidiaries of bank holding companies with more than $250 billion in total consolidated assets. The rule requires them to hold a minimum ratio of 3 percent, measured against their total leverage exposure, with more stringent requirements for the largest and most systemic financial institutions. The change will be effective once the rule is published in the Federal Register and will be in effect through March 31, 2021. Comments will be accepted for 45 days after publication in the Federal Register. The Board today also asked for feedback on additional questions relating to the interim final rule."
12-May-20,Federal Reserve publishes updates to the term sheet for the Term Asset-Backed Securities Loan Facility (TALF) and announces information to be disclosed monthly for the TALF and the Paycheck Protection Program Liquidity Facility,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200512a.htm,"The Federal Reserve Board on Tuesday announced additional information regarding borrower and collateral eligibility criteria for the Term Asset-Backed Securities Loan Facility (TALF). The facility was announced on March 23 as part of an initiative to support the flow of credit to U.S. consumers and businesses. To help ensure that U.S. consumers and businesses remain able to access credit at affordable terms, TALF initially will make up to $100 billion of loans available. Also on Tuesday, the Board outlined the information it will publicly disclose for the TALF and the Paycheck Protection Program Liquidity Facility (PPPLF) on a monthly basis. The Board will disclose the name of each participant in both facilities; the amounts borrowed, interest rate charged, and value of pledged collateral; and the overall costs, revenues, and fees for each facility. The disclosures are similar to those announced in April for the Board facilities that utilize CARES Act funds. ""The Federal Reserve remains committed to providing the public and Congress with detailed information about our efforts to support households and businesses during this unprecedented time,"" said Federal Reserve Board Chair Jerome H. Powell. The Federal Reserve intends to use its full range of tools to support the flow of credit to households, businesses, and communities to counter the economic impact of the coronavirus pandemic and promote a swift recovery once the disruptions abate."
11-May-20,Federal Reserve publishes updates to the term sheet for the Municipal Liquidity Facility,Press Release,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200511a.htm,"The Federal Reserve Board on Monday published updates to the term sheet for the Municipal Liquidity Facility (MLF) to provide pricing and other information. The MLF, which was established under Section 13(3) of the Federal Reserve Act, with approval of the Treasury Secretary, will offer up to $500 billion in lending to states and municipalities to help manage cash flow stresses caused by the coronavirus pandemic."
