,neg,neu,pos,compound,Date
0,0.083,0.897,0.02,-0.9186,1-Jul-20
1,0.02,0.762,0.217,0.9733,29-Jun-20
2,0.092,0.853,0.055,-0.9498,25-Jun-20
3,0.024,0.856,0.12,0.9887,15-Jun-20
4,0.0,0.84,0.16,0.972,15-Jun-20
5,0.0,0.923,0.077,0.8481,15-Jun-20
6,0.048,0.839,0.113,0.9787,10-Jun-20
7,0.019,0.843,0.137,0.9931,8-Jun-20
8,0.016,0.926,0.058,0.7184,3-Jun-20
9,0.035,0.872,0.093,0.4939,26-May-20
10,0.048,0.744,0.208,0.9747,20-May-20
11,0.022,0.883,0.095,0.9493,15-May-20
12,0.017,0.827,0.157,0.9846,12-May-20
13,0.041,0.854,0.105,0.5574,11-May-20
14,0.035,0.91,0.055,0.1779,6-May-20
15,0.015,0.877,0.109,0.9217,5-May-20
16,0.0,0.927,0.073,0.9451,30-Apr-20
17,0.0,0.902,0.098,0.6908,30-Apr-20
18,0.02,0.875,0.105,0.9861,30-Apr-20
19,0.057,0.84,0.103,0.9587,29-Apr-20
20,0.02,0.862,0.117,0.9891,27-Apr-20
21,0.049,0.847,0.104,0.7506,27-Apr-20
22,0.016,0.949,0.036,0.2484,24-Apr-20
23,0.0,0.909,0.091,0.9169,23-Apr-20
24,0.042,0.843,0.114,0.9555,23-Apr-20
25,0.026,0.818,0.156,0.9867,23-Apr-20
26,0.0,0.854,0.146,0.9287,16-Apr-20
27,0.042,0.879,0.079,0.81,14-Apr-20
28,0.049,0.807,0.144,0.9529,9-Apr-20
29,0.021,0.808,0.171,0.9991,9-Apr-20
30,0.072,0.79,0.138,0.956,8-Apr-20
31,0.067,0.774,0.159,0.9772,7-Apr-20
32,0.0,0.97,0.03,0.0258,6-Apr-20
33,0.022,0.862,0.116,0.9786,6-Apr-20
34,0.046,0.828,0.126,0.9821,3-Apr-20
35,0.019,0.814,0.167,0.991,1-Apr-20
36,0.008,0.845,0.147,0.9836,31-Mar-20
37,0.091,0.83,0.079,-0.1531,31-Mar-20
38,0.048,0.816,0.136,0.9648,27-Mar-20
39,0.043,0.91,0.047,-0.0935,26-Mar-20
40,0.04,0.805,0.156,0.9897,26-Mar-20
41,0.034,0.861,0.105,0.9042,24-Mar-20
42,0.054,0.863,0.082,0.4939,23-Mar-20
43,0.025,0.79,0.185,0.9993,23-Mar-20
44,0.011,0.82,0.169,0.9976,23-Mar-20
45,0.076,0.777,0.147,0.9676,22-Mar-20
46,0.0,0.864,0.136,0.8689,20-Mar-20
47,0.056,0.766,0.177,0.9648,19-Mar-20
48,0.054,0.775,0.171,0.9468,19-Mar-20
49,0.007,0.873,0.12,0.9604,18-Mar-20
50,0.022,0.808,0.17,0.9758,17-Mar-20
51,0.028,0.83,0.142,0.9874,17-Mar-20
52,0.0,0.822,0.178,0.9837,17-Mar-20
53,0.072,0.694,0.234,0.9423,16-Mar-20
54,0.027,0.873,0.1,0.9875,15-Mar-20
55,0.039,0.784,0.177,0.9984,15-Mar-20
56,0.102,0.847,0.05,-0.743,9-Mar-20
57,0.018,0.902,0.08,0.6908,5-Mar-20
58,0.068,0.84,0.092,0.5106,3-Mar-20
59,0.051,0.894,0.054,0.2023,29-Jan-20
